ID|Example Romaji|Example Kanji|Example English|Example French|Example Spanish|
884|kousaten ni hito ga oozei atsumatte imasu ne. jiko no you desu.|交差点に人が大勢集まっていますね。事故のようです。|There is a big crowd at the cross junction. It looks like there's an accident.|Il y a une grande foule à la jonction. Il semble qu'il ya un accident.|Hay una gran multitud en el cruce. Parece que hay un accidente.|
885|shizuka no kutsu no himo wo musunde agete.|静の靴の紐を結んであげて。|Tie Shizuka's shoelaces.|Attachez les lacets de Shizuka.|Ate los cordones de Shizuka.|
886||||||
887|nanidemo nomimono wo nondemo ii desu.|何でも飲み物を飲んでもいいです。|You can drink any drink.|Vous pouvez boire toute boisson.|Se puede beber cualquier bebida.|
888|tsudemo ii desu.|津でもいいです。|Anytime is all right.|N'importe quand est bon.|En cualquier momento está bien.|
889|tabenakutemo ii desu.|食べなくてもいいです。|It is best not to eat.|Il est préférable de ne pas manger.|Es mejor no comer.|
890|kono kousaten wo migi ni magatewa ikemasen.|このこうさてんを右にまがてはいけません。|You may not turn right at this intersection.|Vous ne pouvez pas tourner à droite à cette intersection.|No puede girar a la derecha en esta intersección.|
891||||||
892|nete shimatta.|ねてしまった。|(Oh dear) I fell asleep.|(Oh mon Dieu) je me suis endormi.|(Oh, Dios) me quedé dormido.|
893|nandemo mina tabete shimaimashita.|なんでもみな食べてしまいました。|I ended up eating everything.|J'ai fini par manger tout.|Acabé comiendo todo.|
894||||||
895||||||
896||||||
897||||||
898||||||
899|osoku naru baai, renraku shite kudasai.|遅くなる場合，連絡してください。|In case it gets late, please call.|Dans le cas où il se fait tard, s'il vous plaît appelez.|En caso de que se hace tarde, por favor llame.|
900|sou suru to..|そうすると...|If it is so then... for sure.|Si c'est ainsi ... alors à coup sûr.|Si es así, entonces ... de seguro.|
901|yaru ni naru to samuku narimasu.|やるになると寒くなります。|Autumn is coming so it's getting cold.|L'automne arrive donc il commence à faire froid.|El otoño está viniendo por lo que está haciendo frío.|
902|buzaa wo osu to doa ga okimasu.|ブザーを押すとドアが起きます。|I press on the buzzer so the door opens.|Je presse sur le buzzer donc la porte s'ouvre.|Prosigo el timbre entoncés la puerta se abre.|
903||||||
904|ii tenki naraba sentaku wo shimasu.|いい天気ならばせんたくをします。|If the weather is good I do the laundry.|Si le temps est bon, je fais la lessive.|Si el tiempo es bueno hago la lavandería.|
905|moshi sushi ga suki naraba takusan tabete kudasai.|もしすしが好きならばたくさん食べてください。|If you like sushi, please eat a lot.|Si vous aimez le sushi, s'il vous plaît mangez beaucoup.|Si te gusta el sushi, por favor come mucho.|
906|moshi mainichi nihongo wo hanaseba jouzu ni narimasu.|もし毎日日本語を話せばじょうずになります。|If I speak Japanese every day, I will become proficient.|Si je parle japonais tous les jours, je vais devenir compétent.|Si hablo japonés todos los días, voy a ser competente.|
907|micha ga kondeireba okuremasu.|道が混んでいれば遅れます。|If the road is packed I will be late.|Si la route est emballée, je serai en retard.|Si el camino está lleno voy a llegar tarde.|
908|moshi heya ga kurakereba denki wo tsukemasu.|もし部屋がくらければ電気をつけます。|If the room is dark, you turn the electricity on.|Si la pièce est sombre, vous mettez l'électricité.|Si la habitación está oscura, que encienda la luz sucesivamente.|
909|yokereba kaimasu.|よければ買います。|If it's good I buy (it).|Si c'est bon que je (l')achète.|Si es bueno (lo) compro.|
910|ii tenki de nakereba sentaku wo shimasen.|いい天気でなければせんたくをしません。|If the weather is bad I don't do the laundry.|Si le temps est mauvais, je ne fais pas la lessive.|Si el tiempo es malo no hago la lavandería.|
911|moshi sushi ga suki de nakereba tabenakutemo ii desu.|もしすしが好きでなければ食べなくてもいいです。|If you don't like sushi, it's best that you don't eat (any).|Si vous ne l'aimez pas sushi, il est préférable que vous (n'en) mangez pas.|Si no te gusta el sushi, lo mejor es que usted no (lo) come.|
912|moshi mainichi nihongo wo hanasanakereba jouzu ni narimasen.|もし毎日日本語を話さなければじょうずになりあせん。|If I don't speak Japanese every day, I will not become proficient.|Si je ne parle pas japonais tous les jours, je ne deviendrai pas compétent.|Si no hablo japonés todos los días, no voy a ser competente.|
913|takushii de ikanakereba okuremasu.|タクシーで行かなければ遅れます。|If I don't take a cab I will be late.|Si je ne prends pas un taxi je vais être en retard.|Si no tomo un taxi llegaré tarde.|
914|tanoshiku nakereba, watashi mo ikanai.|楽しくなければ、私も行かない。|If it's not fun, I'll also not go.|Si ce n'est pas amusant, je ne vais pas non plus aller.|Si no es divertido, yo tampoco voy.|
915||||||
916|gakusei dattara gakusei waribiki de kaemasu.|学生だったら、学生割引で買えます。|If you were a student, you could buy with a student discount.|Si vous étiez étudiant, vous pourriez acheter avec un rabais d'étudiant.|Si usted fuera un estudiante, usted podría comprar con un descuento de estudiante.|
917|hima dattara asobi ni iku yo.|暇だったら、遊びに行くよ。|If I was free, I would go play.|Si j'étais libre, j'irais jouer.|Si yo estaba libre, iré jugar.|
918|moshi kowaretara motte kitte kudasai.|もし壊れたら持って来て下さい。|If you break it please bring it (here).|Si vous le cassez s'il vous plaît ammenez-le (ici).|Si lo rompe por favor traelo (aquí).|
919|mado wo aketara, samuku narimashita.|窓を開けたら，寒くなりました。|When I opened the window, I got cold.|Quand j'ai ouvert la fenêtre, j'ai eu froid.|Cuando abrí la ventana, tuvo frío.|
920|kuraku nakattara, kaeranakereba narimasen.|暗くなかったら，帰らなければなりません。|While it hasn't gotten dark (yet), I have to return home.|Bien qu'il n'a pas devenu sombre (encore), je dois rentrer à la maison.|Si bien no se ha hecho oscuro (aún), tengo que volver a casa.|
921|ashita shiken da kara kyou benkyou wo shimasu.|明日試験だから今日勉強をします。|There's a test tomorrow so I'm studying today.|Il y a un test demain donc j'étudie aujourd'hui.|Hay un examen mañana por eso estoy estudiando ahora.|
922|kare wa biiru ga suki da kara takusan wo nomimasu.|彼はビールが好きだからたくさんを飲みます。|He likes beer so he drinks a lot.|Il aime la bière alors il boit beaucoup.|Le gusta la cerveza por lo que bebe mucho.|
923|(ashita wa ame desu) da kara uchi ni imasu.|（明日は雨です）だから家にいます。|(There will rain tomorrow) So I'll be at home.|(Il y aura de la pluie demain) Donc, je serai à la maison.|(Habrá lluvia mañana) Así que estaré en casa.|
924|ame ga futeiru kara jitensha ni noranaide chikatestsu de ikimasu.|雨がふっているからじてん車に乗らないで地下鉄にで行きます。|The rain is falling, therefore I am taking the subway instead of riding the bike.|La pluie tombe, donc je prends le métro au lieu de monter le vélo.|La lluvia está cayendo, por lo tanto, estoy tomando el metro en lugar de montar la bicicleta.|
925|watashi no kutsu wa furui kara atarashii no wo kaimasu.|私の靴は古いから新しいのを買います。|My shoes are old so I'll buy new ones.|Mes chaussures sont vielles donc je vais acheter des nouvelles.|Mis zapatos son viejos, así que voy a comprar otros nuevos.|
926|koko wa shizuka nanode odayaka desu.|ここは静かなので穏やかです。|It is very calm here because it is quiet.|Il est très calme ici, car c'est silencieux.|Es muy tranquilo aquí porque es silencioso.|
927|na node tomodachi ni au jikan ga nai.|なので友達に会う時間がない。|That's why there's no time to meet friends.|Voilà pourquoi il n'y a pas de temps pour rencontrer des amis.|Es por eso que no hay tiempo para reunirse con amigos.|
928|chotto isogashii node sorosoro shitsurei shimasu.|ちっと忙しいのでそろそろ失礼します。|Because I'm a little busy, I'll be taking my leave soon.|Puis ce que je suis un peu occupé, je vais faire mon congé bientôt.|Porque estoy un poco ocupado, voy a estar haciendo mi permiso pronto.|
929|kyou wa getsuyoubi nande toshokan wa yasumi desu.|今日は月曜日なんで図書館は休みです。|Today is Sunday, so the library is in recess.|Aujourd'hui dimanche, donc la bibliothèque est fermée.|Hoy es domingo, por lo que la biblioteca está en receso.|
930|koko wa shizuka na nde odayaka desu.|ここは静かなんで穏やかです。|It is very calm here because it is quiet.|Il est très calme ici, car c'est silencieux.|Es muy tranquilo aquí porque es silencioso.|
931|na nde tomodachi ni au jikan ga nai.|なんで友達に会う時間がない。|That's why there's no time to meet friends.|Voilà pourquoi il n'y a pas de temps pour rencontrer des amis.|Es por eso que no hay tiempo para reunirse con amigos.|
932|ashita shiken ga aru nde benkyou wo shinakereba narimasen.|明日試験があるんで勉強をしなければなりません。|There's a test tomorrow, therefore I want to study.|Il y a un test demain, donc je veux étudier.|Hay una prueba de mañana, por lo tanto quiero estudiar.|
933|chotto isogashii nde sorosoro shitsurei shimasu.|ちっと忙しいんでそろそろ失礼します。|Because I'm a little busy, I'll be taking my leave soon.|Puis ce que je suis un peu occupé, je vais faire mon congé bientôt.|Porque estoy un poco ocupado, voy a estar haciendo mi permiso pronto.|
934|watashitachi no ikka wa mazushii. Demo shiawase desu.|私たちの一家は貧しい，でも幸せです。|Our family is poor. But we are happy.|Notre famille est pauvre. Mais nous sommes heureux.|Nuestra familia es pobre. Pero estamos contentos.|
935|umi ha donna ni kirei demo ki wo ktsukete kudasai.|海はどんなにきれいでも気を付けてください。|It doesn't matter how beautiful the sea is, please be careful.|Peu importe la beauté de la mer, s'il vous plaît soyez prudent.|No importa lo bonito que es el mar, por favor tenga cuidado.|
936|depaato ni ikimashita ga nanimo hoshikunakatta desu.|デパートに行きましたが何も欲しくなかったです。|I went to the department store but there was nothing I wanted.|Je suis allé au magasin, mais il n'y avait rien que je voulais.|Fui a la tienda pero no había nada que yo quería.|
937|sumimasen ga mou ichido onamae wo onegaishimasu.|すみませんがもう一度お名前をお願いします。|Excuse me but can I have your name once more?|Excusez-moi, mais puis-je entendre votre nom encore une fois?|Perdone, pero puedo oir su nombre una vez más?|
938|depaato ni ikimashita ga ii mono ga takusan arimashita.|デパートに行きましたがいい物がたくさんありました。|I went to the department store and there was a lot of good stuff.|Je suis allé au magasin et il y avait beaucoup de bonnes choses.|Fui a la tienda y había un montón de cosas buenas.|
939|meisun to moushimasu ga iroshi san irasshaimasu ka?|メイスンと申しますがひろしさんいらっしゃいますか？|I'm called Meisun, is Mr. Hiroshia there?|Je suis appelé Meisun, est M. Hiroshia là?|Estoy llamado Meisun, es el Sr. Hiroshia allí?|
940|kyou wa hima dakedo ashita wa isogashii.|今日は暇だけど明日は忙しい。|I'm free today but I will be busy tomorrow.|Je suis libre aujourd'hui, mais je serai occupé demain.|Estoy libre hoy, pero voy a estar ocupado mañana.|
941|dakedo kare ga mada suki na no.|だけど彼がまだ好きなの。|(That may be so,) but it is that I still like him.|(Cela peut être ainsi,) mais il est un fait que je l'aime encore.|(Puede que sea así,) pero es un hecho que todavía me gustalo.|
942|tomodachi ni kiita kedo shrinakatta.|友達に聞いたけど知らなかった。|I asked a friend but he did not know.|J'ai demandé à un ami, mais il ne savait pas.|Le pregunté a un amigo, pero él no lo sabía.|
943|matorikusu wo mita kedo omoshirokatta.|マトリックスを見たけど面白かった。|I watched The Matrix and it was interesting.|J'ai vu La Matrice et c'était intéressant.|Vi La Matriz y era interesante.|
944|kare wa gakusei dakeredomo benkyou wo shimasen.|彼は学生だけれどもべんきょうをしません。|He is a student but he doesn't study.|Il est un étudiant, mais il n'étudie pas.|Él es un estudiante, pero no estudia.|
945|chikatetsu wa benri dakeredomo nori kae wa muzukashii desu.|地下鉄はへんりだけれども乗り換えはむずかしいです。|The subway is convenient but the transfers are complicated.|Le métro est pratique, mais les transferts sont compliqués.|El metro es conveniente, pero las transferencias son complicadas.|
946|eiga wo mitai keredomo ima wa isogashii.|英語を見たいけれども今は忙しい。|I would like to watch a movie, but I am now busy.|Je voudrais regarder un film, mais je suis maintenant occupé.|Me gustaría ver una película, pero ahora estoy ocupado.|
947|tenki ga ii keredomo samui desu.|天気がいいけれども寒いです。|The weather is nice but cold.|Le temps est beau mais froid.|El clima es agradable, pero frío.|
948|shokyouyou no senzai desu ka? soretomo sentaku senzai desu ka?|食器用の洗剤ですか?それとも選択洗剤ですか?|Is this dishwashing detergent? or is it laundry detergent?|Est-ce du détergent à vaisselle? ou est-ce du détergent à lessive?|Es este detergente para lavar platos? o se trata de detergente para la ropa?|
949|eiga wo mimasu ka? soretomo shokuji wo shimasu ka?|映画を見ますか?それとも食事をしますか?|Are you watching a movie? or are you cooking?|Êtes-vous en train de regarder un film? ou cuisinez-vous?|¿Estás viendo una película? o está cocinando?|
950||||||
951|gakusei nanoni kanojo wa benkyou shinai.|学生なのに勉強しない。|Despite being a student she does not study.|En dépit d'être une étudiante elle n'étudie pas.|A pesar de ser un estudiante ella no estudia.|
952|kono heya wa itumo kirei nanoni kyou wa  chirakatteiru.|この部屋はいつもきれいなのに今日は散らかっている。|Although this room is usually clean, it’s messy today.|Bien que cette chambre est généralement propre, elle est en désordre aujourd'hui.|A pesar de esta sala es generalmente limpia, es desordenada hoy.|
953|paatii wa shizuka datta noni tanoshii deshita.|パーティは静かだったなのに楽しいでした。|The party was peaceful but fun.|La fête était paisible mais amusante.|La fiesta fue pacífica, pero divertida.|
954|mainichi undou shita noni zenzen yasenakatta.|毎日運動したのに全然やせなかった。|Despite exercising every day I didn't get thinner.|En dépit de faire des exercices tous les jours que je ne ai pas minci.|A pesar de hacer ejercicios todos los días no he tenido más delgado.|
955|chichi wa se ga takai noni boku wa hikui.|父は背が高いのに僕は低い。|Although my father is tall, I am short.|Bien que mon père est grand, je suis court.|A pesar de que mi padre es alto, soy corto.|
956|kaeri ga hayakatta noni yoru osoku made terebi wo miteita node nemui.|帰りが早かったのに夜遅くまでテレビを観ていたので 眠い。|I got home early but since I stayed up late watching TV, I am sleepy.|Je suis rentré chez moi tôt, mais puise que que je suis resté regarder la télévision jusqu'à tard, je suis fatigué.|Llegué a casa temprano, pero desde que me quedé hasta tarde viendo la televisión, tengo sueño.|
957||||||
958|sou ja nakute.|そうじゃなくて。|That's not what I meant.|Ce n'est pas ce que je voulais dire.|Eso no es lo que quise decir.|
959|koohii wo nominagara hanashiteimasu.|コーヒーを飲みながら話しています。|He talks while drinking coffee.|Il parle tout en buvant du café.|Él habla, mientras que el consumo café.|
960|kanojo wa itsumo shokki wo arainagara denwa de hanashimasu.|彼女はいつもしょっきをあらいながら電話で読します。|She always speaks on the phone when (every time) she washes the dishes.|Elle parle toujours au téléphone quand (à chaque fois qu') elle lave la vaisselle.|Ella siempre habla en el teléfono cuando (/cada vez que) lava los platos.|
961|sensei da shi toshiue da shi....|先生だし年上だし...|He's the teacher, and he's older...|Il est le maître, et il est plus âgé ...|Él es el maestro, y él es más viejo ...|
962|yasashii shi kakkoii shi omoshiroi kara.|優しいしかっこいいし面白いから。|Because he's kind, attractive, and interesting (amongst other things).|Parce qu'il est gentil, attrayant et intéressant (entre autres).|Porque es amable, atractivo y interesante (entre otras cosas).|
963|eiga wo mitari hon wo yondari hirunetari suru.|映画を見たり本を読んだり昼寝したりする。|I do things like watch movies, read books, take naps (amongst other things).|Je fais des choses comme regarder des films, lire des livres, faire des siestes (entre autres).|Hago cosas como ver películas, leer libros, tomar siestas (entre otras cosas).|
964|eiga wo mitari hon wo yondari hirunetari shinai.|映画を見たり本を読んだり昼寝したりしなかった。|I didn't do things like watch movies, read books, take naps (amongst other things).|Je ne fais pas des choses comme regarder des films, des livres lus, des siestes (entre autres).|No he hecho cosas como ver películas, leer libros, tomo siestas (entre otras cosas).|
965|kono daigaku no jugyou wa kantan dattari muzukashikattari suru.|このだいがくのじゅぎょうは簡単だったり難しかったりする。|Classes of this college were sometimes easy and sometimes difficult.|Les classes de ce collège ont parfois été facile et parfois difficile.|Las clases de este colegio fueron a veces fácil ya veces difícil.|
966|byouki no toki byouin ni ikimasu.|びょうきのとき病院に行きます。|When in sickness I go to a hospital.|En cas de maladie, je vais à l'hôpital.|Cuando en enfermedad, vaya a un hospital.|
967|yoru shizuka na toki benyou wo shimasu.|よるしずかなとき勉強をします。|In the evening when it's quiet I study.|Le soir, quand il est calme j'étudie.|Por la noche, cuando está tranquilo estudio.|
968|hima na toki nihon go wo benkyou shimasu.|暇なとき日本語を勉強します。|When I'm free I study Japanese.|Quand je suis libre, j'étude le japonais.|Cuando estoy libre estudio el japonés.|
969|densha ni norutoki kippu wo kaimasu.|電車に乗るとききっぷを買います。|When I ride the train I buy a ticket.|Quand je prends le train, j'achete un billet.|Cuando viaje en el tren compro un boleto.|
970|itami no hidoi toki kono kusuri wo nonde kudasai.|痛みのひどいときこの薬を飲んで下さい。|When the stomach hurts drink this medicine.|Lorsque l'estomac fait mal buvez ce médicament.|Cuando el estómago duele bebe este medicamento.|
971|byouki datta toki tomodachi mimai ni kita.|びょうきだったとき友達がみまいに来た。|When I was in sickness my friends came to visit.|Quand j'étais malade mes amis sont venus visiter.|Cuando estaba enfermo mis amigos vinieron a visitar.|
972|kare ga yuumei datta toki nankaika conseeto ni itta.|彼がゆうやいだったとき何回かコソサートに行った。|When he was famous he went to concerts a few times.|Quand il était célèbre, il est allé à des concerts plusieurs fois.|Cuando se hizo famoso fue a conciertos un par de veces.|
973|kinou densha ni notta toki toodach ni atta.|昨日電車に乗ったとき友達に会った。|Yesterday when I rode the train I met some friends.|Hier, quand je montais le train, j'ai rencontré quelques amis.|Ayer, cuando monté el tren me encontré con algunos amigos.|
974|itami no hidokatta toki kono kusuri wo nonda.|痛みのひどかったときこの薬を飲んだ。|When the stomach hurt he drank this medicine.|Quand l'estomac faisait mal, il but ce médicament.|Cuando el estómago duela, bebía este medicamento.|
975|gakusei no uchi ni yoku benkyou shite okinasai.|学生のうちによく勉強しておきなさい。|Study hard while you are still a student.|Étudiez dur pendant que vous êtes encore étudiant.|Estudiar duro mientras todavía un estudiante.|
976|sensei no hanashi wo kiiteiru uchi ni nemuku natte kita.|先生の話を聞いているうちに眠くなってきた。|I got sleepy as I listened to the teacher speak.|Je me suis fatigué en écoutant parler le professeur.|Me dio sueño al escuchar hablar al maestro.|
977||||||
978||||||
979||||||
980|kaisha ni iku tochuu de terii san ni aimashita.|会社に行く途中でテリーさんに会いました。|On my way to work I met Terry.|Sur le chemin du travail, j'ai rencontré Terry.|En mi camino al trabajo me encontré con Terry.|
981|shigoto ni iku tochuu de kagi wo mimashita.|仕事に行く途中で鍵を見ました。|On my way to work I saw a key.|Sur le chemin du travail, j'ai vu une clé.|En mi camino al trabajo vi una llave.|
982||||||
983|kono tegami wo okuru no ni ikura desu ka?|この手紙を送るのにいくらですか？|How much will it cost to send this letter?|Combien ça va coûter pour envoyer cette lettre?|¿Cuánto cuesta enviar esta carta?|
984||||||
985|tabako wo suu you ni narimashita.|たばこを吸うようになりました。|I didn't smoke in the past, I smoke now.|Je n'ai pas fumé dans le passé, je fume maintenant.|No he fumado en el pasado, que el humo ahora.|
986|tabako wo suwanaku narimashita.|たばこを吸わなくなりました。|I used to smoke in the past but I don't smoke now.|Je fumais dans le passé mais je ne fume pas maintenant.|Solía fumar en el pasado pero no fumo ahora.|
987|nihongo no uta ga utaeru you ni narimashita.|日本語の歌が歌えるようになりました。|I couldn't sing Japanese songs in the past, I can sing now.|Je ne pouvais pas chanter des chanson japonaises dans le passé, je peux chanter maintenant.|No podía cantar canciónes japonesas en el pasado, puedo cantar ahora.|
988||||||
989|raishuu kyoutou iku tsumori desu.|来週京都行くつもりです。|I intend to go to Kyoto next week.|J'ai l'intention d'aller à Kyoto la semaine prochaine.|Tengo la intención de ir a Kyoto próxima semana.|
990||||||
991||||||
992|kore wa gaikokujin no tame no nihongo no jisho desu.|これは外国人のための日本語の辞書です。|This is a Japanese dictionary for (the benefit of) foreigners.|Ceci est un dictionnaire japonais (au profit des) étrangers.|Se trata de un diccionario japonés para (el beneficio de) los extranjeros.|
993|kazoku no tame ni isshoukenmei hataraite imasu.|家族のために一生懸命働いています。|I am working very hard for the benefit of my family.|Je travaille très dur pour le bien de ma famille.|Estoy trabajando muy duro para el beneficio de mi familia.|
994|kore wa ugoku you ni itte.|これは動くように言って。|Tell him to make it work.|Dites-lui de le faire fonctionner.|Dile a hacer que funcione.|
995|watashi ni denwa wo suru you ni tsutaete kudasai.|私に電話をするように伝えて下さい。|Please tell (him) to call me.|S'il vous plaît dites (lui) de me appeler.|Informe (a él) de llamarme.|
996|nenryou wo takusan tsukau you na kuruma desu ne.|燃料をたくさん使うような車ですね。|It seems to be a car that will use a lot of fuel.|Ça semble être une voiture qui utilisera beaucoup de carburant.|Parece ser un coche que va a utilizar una gran cantidad de combustible.|
997|befu san wakaranai you na kao wo shite iru.|ベフさんは分からないような顔をしている。|Beth is making a face that looks as if she doesn't understand.|Beth fait un visage qui a l'air comme si elle ne comprend pas.|Bet está haciendo una cara que parece como si ella no entiende.|
998|kenzo san wa yopparatte iru you ni aruite iru.|謙三さんは酔っ払っているように歩いている。|Kenzo is walking like he's drunk.|Kenzo marche comme s'il est ivre.|Kenzo está caminando como si estuviera borracho.|
999|befu san wa wakaranai you ni mieru.|ベフさんは分からないように見える。|Beth looks as if she doesn't understand.|Beth a l'air comme si elle ne comprend pas.|Bet parece como si ella no entiende.|
1000|inu no you na neko.|犬のような猫。|That cat's like a dog.|Ce chat a l'air d'un chien.|Ese gato perece como un perro.|
1001|kanojo wa moderu no you na kao wo shite iru.|彼女はモデルのような顔をしている。|She has a face like a model's.|Elle a un visage comme celui d'un modèle.|Ella tiene una cara como ello de un modelo.|
1002|kanojo wa uma no you ni taberu.|彼女は馬のように食べる。|She eats like a horse (eats).|Elle mange comme un cheval (mange).|Ella come como un caballo (come).|
1003|kare wa usagi no you ni hashiru.|彼は兎のように走る。|He runs like a rabbit (runs).|Il court comme un lapin (court).|Corre como un conejo (corre).|
1004|kore wa kirei da to itte.|これはきれいだと言って。|Tell him that it's pretty.|Dites-lui que c'est joli.|Dile que es bonito.|
1005|kore wa ugoku to itte.|これは動くと言って。|Tell him that it works.|Dites-lui que ça fonctionne.|Dile que funciona.|
1006|kore wa akai to itte.|これは赤いと言って。|Tell him that it is red.|Dites-lui que c'est rouge.|Dile que es de color rojo.|
1007|kare wa gakusei da to omoimasu.|彼はがくせいだと思います。|I think that he is a student.|Je pense qu'il est un étudiant.|Pienso que es un estudiante.|
1008|sore wa tadashii to wa kagiranai.|それは正しいとは限らない。|That is not always correct.|Ce n'est pas toujours correct.|Esto no siempre es correcta.|
1009||||||
1010|ima wa nanji ka wakarimasu ka?|今は何時かわかりますか？|Do you know what time it is now?|Savez-vous quelle heure il est maintenant?|¿Sabes qué hora es ahora?|
1011|kaigi wa nanji kara ka oboeteimasu ka?|会議は何時からか覚えていますか？|Do you remember until what hour is the meeting?|Vous souvenez-vous jusqu'à quelle heure est la réunion?|¿Recuerdas hasta qué hora es la reunión?|
1012|tsugi no basu wa nanji ni kuru ka wakarimasu ka?|次のバスは何時に来るかわかりますか？|Do you know at what time comes the next bus?|Savez-vous à quel moment vient le prochain bus?|¿Sabe usted a qué hora llega el próximo autobús?|
1013|kare wa dare datta ka wakarimasu ka?|彼は誰だったかわかりますか？|Do you know who was that person?|Savez-vous qui était cette personne?|¿Sabe usted quién era esa persona?|
1014|kono furui tatemono nan datta ka wakarimasu ka?|この古い建物は何だったか分かりますか？|Do you know what this old building was?|Savez-vous ce que ce vieux bâtiment était?|¿Sabe lo que era este viejo edificio?|
1015||||||
1016|kono denwa bangou wa yuukisan no ka dou ka wakarimasu ka?|この電話番号は結城さんのかどうか分かりますか？|Is this Yuki's phone number, or isn't it?|Est-ce le numéro de téléphone de Yuki, ou non?|Es este número de teléfono de Yuki, o no lo es?|
1017|konojo wa nihonga ga hanaseru ka dou ka wakarimasu ka?|彼女は日本画が話せるかどうかわかりますか？|Do you know if she can speak Japanese or not?|Savez-vous si elle peut parler japonais ou non?|¿Sabe si ella puede hablar japonés o no?|
1018|kare wa kuru ka dou ka wakarimasen.|彼は来るかどうかわかりません。|I don't know whether he's coming or not.|Je ne sais pas s'il vient ou non.|No sé si va a venir o no.|
1019|kare wa kita ka dou ka wakarimasen.|彼は来たかどうかわかりません。|I don't know whether he came or not.|Je ne sais pas s'il est venu ou non.|No sé si llegó o no.|
1020|eiga wa omoshiroi ka dou ka wakarimasen.|映画は面白いかどうかわかりません。|I don't know whether the movie is interesting or not.|Je ne sais pas si le film est intéressant ou non.|No sé si la película es interesante o no.|
1021|eiga wa omoshirokatta ka dou ka wakarimasen.|映画は面白かったかどうかわかりません。|I don't know whether the movie was interesting or not.|Je ne sais pas si le film était intéressant ou non.|No sé si la película era interesante o no.|
1022|kare wa gakusei ka dou ka wakarimasen.|彼は学生かどうかわかりません。|I don't know whether he is a student or not.|Je ne sais pas s'il est un étudiant ou non.|No sé si es un estudiante o no.|
1023|kare wa gakusei datta ka dou ka wakarimasen.|彼は学生だったかどうかわかりません。|I don't know whether he was a student or not.|Je ne sais pas s'il était un étudiant ou non.|No sé si era un estudiante o no.|
1024|kono omocha wa denchi wo iretara ugoku hazu desu.|このおもちゃは電池を入れたら動くはずです。|This toy is supposed to move when you put in batteries.|Ce jouet est censé se déplacer quand vous y mettez des batteries.|Este juguete debe moverse cuando ponelo baterías.|
1025|magii wa ima ie ni iru hazu desu.|マギーは今、家にいるはずです。|Maggie should be home now.|Maggie devrait être à la maison maintenant.|Maggie debería estar en casa ahora.|
1026|kanojo no tsukutta mono nara nandemo oishii hazu da.|彼女の作ったものなら何でも美味しいはずだ。|I expect everything she makes is delicious.|Je pense tout ce qu'elle fait est délicieux.|Espero que todo lo que hace es delicioso.|
1027|ashita no shiken wa kantanna hazu da.|明日の試験は簡単なはずだ。|The exam tomorrow is supposed to be easy.|Le demain examen est censé être facile.|El examen de mañana se supone que es fácil.|
1028|kare ga sagashite ita no wa kono hon no hazu da.|彼が探していたのはこの本のはずだ。|The book he was looking for should be this one.|Le livre qu'il cherchait devrait être celui-ci.|El libro que estaba buscando debe ser este.|
1029|magii ga sono koto wo shiranai hazu ga nai.|マギーがそのことを知らないはずがない。|There is no way that Maggie doesn’t know that.|Il n'y a aucun moyen que Maggie ne le sait pas.|No hay manera de que Maggie no lo sabe.|
1030|watashi no ryouri ga oishiku nai hazu wa nai.|私の料理が美味しくないはずはない。|There is no way that my cooking is not good.|Il n'y a aucun moyen que ma cuisine est pas bonne.|No hay manera de que mi cocina no es buena.|
1031|magii wa ima ie ni inai hazu desu.|マギーは今、家にいないはずです。|Maggie shouldn't be home now.|Maggie ne devrait pas être à la maison maintenant.|Maggie no debería estar en casa ahora.|
1032|magii no ryouri wa oishikunai hazu da.|マギーの料理は美味しくないはずだ。|I am sure that Maggie’s cooking is bad.|Je suis sûr que la cuisine de Maggie est mauvaise.|Estoy seguro de que la cocina de Maggie es mala.|
1033|kanojo ga anna otoko wo suki ni naru hazu ga arimasen.|彼女があんな男を好きになるはずがありません。|There is no way that she would like that kind of man.|Il n'y a aucun moyen qu'elle aimerait ce genre d'homme.|No hay manera de que le gustaría ese tipo de hombre.|
1034|magii no ryouri ga oishii hazu ga nai.|マギーの料理が美味しいはずがない。|There is no way that Maggie’s cooking is delicious.|Il n'y a aucun moyen que la cuisine de Maggie soit délicieuse.|No hay manera de que la cocina de Maggie sea deliciosa.|
1035|magii wa sanji ni tsuita hazu da.|マギーは３時に着いたはずだ。|I expect Maggie arrived at 3 o'clock.|Je pense Maggie est arrivée à 3 heures.|Espero Maggie llegó a las 3 en punto.|
1036|Ima demo konnani kawaiino dakara chiisai koro magii wa motto kawaikatta hazu da.|今でもこんなにかわいいのだから小さい頃、マギーはもっとかわいかったはずだ。|Since Maggie is this cute now, she must have been much cuter when she was little.|Puisce que Maggie est mignonne à ce point maintenant, elle devait être beaucoup plus mignonne quand elle était petite.|Puesto que Maggie es este linda ahora, ella debe haber sido mucho más linda cuando era pequeña.|
1037|kinou wa heijitsu datta kara shizuka datta hazuda.|昨日は平日だったから静かだったはずだ。|Since it was a weekday yesterday, it must have been very quiet.|Comme c'était un jour de la semaine hier, il a dû être très calme.|Ya que era un día de la semana ayer, debe haber sido muy tranquilo.|
