Index|Romaji construction|Kana construction|Alternate Spellings|Common|Extra keywords Jap|Preposition|Kanji Root|Latin Root|Exception index|MeaningEN|Extra keywordsEN|MeaningFR|Extra keywordsFR|MeaningES|Extra keywordsES|
20752|ashibumi suru|足踏みする|足ぶみする|1|足踏み||足踏み|ashibumi |107|15427;15428||2552;2553||2552;2553||
20753|achikochi suru|彼方此方する||1|彼方此方||彼方此方|achikochi |107|15426||2554||2554||
20754|yasei suru|野生する||1|野生||野生|yasei |107|16686||2555||2555||
20755|unkou suru|運行する||1|運行||運行|unkou |107|16684;16685||2556;2557||2556;2557||
20756|tousai suru|搭載する||1|搭載|を|搭載|tousai |107|16683||2558||2558||
20757|tetsuduki suru|手続きする|手続する|1|手続き||手続き|tetsuduki |107|16682||2559||2559||
20758|teire suru|手入れする||1|手入れ|を|手入れ|teire |107|16680;16681||2560;2561||2560;2561||
20759|tantou suru|担当する||1|担当||担当|tantou |107|16679||2562||2562||
20760|taitou suru|台頭する|擡頭する|1|台頭||台頭|taitou |107|16678||2563||2563||
20761|soshiki suru|組織する|soshokusuru, 組職する|1|組織|を|組織|soshiki |107|16675;16676;16677||2564;2565;2566||2564;2565;2566||
20762|sokaku suru|組閣する||1|組閣||組閣|sokaku |107|16674||2567||2567||
20763|shuuroku suru|収録する|輯録する, 集録する|1|収録|を|収録|shuuroku |107|16672;16673||2568;2569||2568;2569||
20764|shuunin suru|就任する||1|就任||就任|shuunin |107|16671||2570||2570||
20765|shutsuen suru|出演する||1|出演||出演|shutsuen |107|16670;16645||2571;2572||2571;2572||
20766|shubetsu suru|種別する||1|種別|を|種別|shubetsu |107|16669||2573||2573||
20767|shouryoku suru|省力する||1|省力||省力|shouryoku |107|16668||2574||2574||
20768|shouryaku suru|省略する||1|省略|を|省略|shouryaku |107|16667||2575||2575||
20769|shitei suru|指定する||1|指定|を|指定|shitei |107|16666||2576||2576||
20770|shinrai suru|信頼する||1|信頼|を|信頼|shinrai |107|16665||2577||2577||
20771|shinnin suru|信任する||1|信任||信任|shinnin |107|16664||2578||2578||
20772|shinkou suru|信仰する||1|信仰||信仰|shinkou |107|16663||2579||2579||
20773|shingou suru|信号する||1|信号||信号|shingou |107|16662||2580||2580||
20774|shin'you suru|信用する||1|信用||信用|shin'you |107|16661||2581||2581||
20775|shihan suru|市販する||1|市販|を|市販|shihan |107|16660||2582||2582||
20776|shakaifukki suru|社会復帰する||1|社会復帰|を|社会復帰|shakaifukki |107|16659||2583||2583||
20777|setsuritsu suru|設立する||1|設立|を|設立|setsuritsu |107|16658||2584||2584||
20778|senkyoundou suru|選挙運動する||1|選挙運動||選挙運動|senkyoundou |107|16657||2585||2585||
20779|senkyo suru|選挙する||1|選挙|を|選挙|senkyo |107|16656||2586||2586||
20780|sekkei suru|設計する||1|設計|を|設計|sekkei |107|16655||2587||2587||
20781|seizou suru|製造する||1|製造|を|製造|seizou |107|16654||2588||2588||
20782|seiyaku suru|制約する||1|制約|を|制約|seiyaku |107|16653||2589||2589||
20783|seitei suru|制定する||1|制定|を|制定|seitei |107|16652||2590||2590||
20784|seishi suru|制止する||1|制止|を|制止|seishi |107|16648||2591||2591||
20785|seisaku suru|製作する||1|製作|を|製作|seisaku |107|16647||2592||2592||
20786|seisaku suru|制作する||1|制作|を|制作|seisaku |107|16646||2593||2593||
20787|seikou suru|成功する||1|成功||成功|seikou |107|16644||2594||2594||
20788|seiha suru|制覇する||1|制覇|を|制覇|seiha |107|16643||2595||2595||
20789|seigen suru|制限する||1|制限|を|制限|seigen |107|16642||2596||2596||
20790|seiatsu suru|制圧する||1|制圧|を|制圧|seiatsu |107|16641||2597||2597||
20791|ryouyuu suru|領有する||1|領有|を|領有|ryouyuu |107|16640||2598||2598||
20792|ryoushuu suru|領収する||1|領収|を|領収|ryoushuu |107|16639||2599||2599||
20793|ryoushou suru|了承する|諒承する, 領承する|1|了承|を|了承|ryoushou |107|16638||2600||2600||
20794|ryousan suru|量産する||1|量産|を|量産|ryousan |107|16637||2601||2601||
20795|ryoukei suru|量刑する||1|量刑||量刑|ryoukei |107|16636||2602||2602||
20796|ryoukai suru|了解する|領解する, 領会する, 諒解する|1|了解||了解|ryoukai |107|16634;16635||2603;2604||2603;2604||
20797|ririisu suru|リリースする||0|リリース|を|リリース|ririisu |107|16633||2605||2605||
20798|puropoozu suru|プロポーズする||0|プロポーズ||プロポーズ|puropoozu |107|16632||2606||2606||
20799|puroguramu suru|プログラムする||0|プログラム|を|プログラム|puroguramu |107|16631||2607||2607||
20800|misebiraki suru|店開きする|見世開きする|1|店開き||店開き|misebiraki |107|16629;16630||2608;2609||2608;2609||
20801|mendan suru|面談する||1|面談|を|面談|mendan |107|16628||2610||2610||
20802|manzoku suru|満足する|滿足する|1|満足||満足|manzoku |107|16627||2611||2611||
20803|mankitsu suru|満喫する|満きつする|1|満喫|を|満喫|mankitsu |107|16625;16626||2612;2613||2612;2613||
20804|kyouju suru|教授する||1|教授|を|教授|kyouju |107|16624||2614||2614||
20805|kubun suru|区分する||1|区分|を|区分|kubun |107|16621||2615||2615||
20806|kousei suru|構成する||1|構成|を|構成|kousei |107|16620||2616||2616||
20807|kouhyou suru|公表する||1|公表||公表|kouhyou |107|16619||2617||2617||
20808|kouen suru|公演する||1|公演|を|公演|kouen |107|16617;16618||2618;2619||2618;2619||
20809|kensetsu suru|建設する||1|建設|を|建設|kensetsu |107|16616||2620||2620||
20810|keisei suru|形成する||1|形成|を|形成|keisei |107|16615||2621||2621||
20811|kashou suru|歌唱する||1|歌唱||歌唱|kashou |107|16614||2622||2622||
20812|kakutoku suru|獲得する||1|獲得|を|獲得|kakutoku |107|16611||2623||2623||
20813|juuyoushi suru|重要視する||0|重要視|を|重要視|juuyoushi |107|16610||2624||2624||
20814|juushi suru|重視する||1|重視|を|重視|juushi |107|16609||2625||2625||
20815|jushou suru|受賞する||1|受賞||受賞|jushou |107|16608||2626||2626||
20816|irodori suru|彩りする|色取りする, 色どりする|1|彩り|を|彩り|irodori |107|16607||2627||2627||
20817|hoomuin suru|ホームインする||0|ホームイン||ホームイン|hoomuin |107|16606||2628||2628||
20818|hensei suru|編成する||1|編成|を|編成|hensei |107|16605||2629||2629||
20819|hashiwatashi suru|橋渡しする||1|橋渡し|を|橋渡し|hashiwatashi |107|16604||2630||2630||
20820|hanbai suru|販売する||1|販売|を|販売|hanbai |107|16603||2631||2631||
20821|gunshuu suru|群集する|群聚する|1|群集||群集|gunshuu |107|16601||2632||2632||
20822|gesha suru|下車する||1|下車||下車|gesha |107|16600||2633||2633||
20823|geri suru|下痢する||1|下痢||下痢|geri |107|16599||2634||2634||
20824|genzou suru|現像する||1|現像|を|現像|genzou |107|16598||2635||2635||
20825|funade suru|船出する||1|船出||船出|funade |107|16596;16597||2636;2637||2636;2637||
20826|debyuu suru|デビューする||0|デビュー||デビュー|debyuu |107|16594||2638||2638||
20827|danketsu suru|団結する||1|団結||団結|danketsu |107|16593||2639||2639||
20828|chouhou suru|重宝する|juuhousuru|1|重宝|を|重宝|chouhou |107|16592||2640||2640||
20829|sei suru|制する||1|制|を|制|sei |107|16649;16650;16651||2641;2642;2643||19371||
20830|kan suru|関する||1|関|を|関|kan |107|16613||20108||19372||
20831|yusou suru|輸送する||1|輸送|を|輸送|yusou |107|18177||2645||2645||
20832|usetsu suru|右折する||0|右折||右折|usetsu |107|18176||2646||2646||
20833|un'you suru|運用する||1|運用|を|運用|un'you |107|18174;18175||2647;2648||2647;2648||
20834|tsuika suru|追加する||1|追加|を|追加|tsuika |107|18173||2649||2649||
20835|tousen suru|当選する||1|当選||当選|tousen |107|18170;18171;18172||2650;2651;2652||2650;2651;2652||
20836|touroku suru|登録する||1|登録|を|登録|touroku |107|18169||2653||2653||
20837|tougou suru|統合する||1|統合|を|統合|tougou |107|18167||2654||2654||
20838|tokuten suru|得点する||1|得点||得点|tokuten |107|18166||2655||2655||
20839|tenkai suru|展開する||1|展開|を|展開|tenkai |107|18163;18164;18165||2656;2657;2658||2656;2657;2658||
20840|tekitai suru|敵対する||1|敵対|を|敵対|tekitai |107|18162||2659||2659||
20841|teikyou suru|提供する||1|提供|を|提供|teikyou |107|18160;18161||2660;2661||2660;2661||
20842|suwarikomi suru|座り込みする||1|座り込み||座り込み|suwarikomi |107|18159||2662||2662||
20843|sousetsu suru|創設する||1|創設|を|創設|sousetsu |107|18158||2663||2663||
20844|soui suru|相違する|相異する|1|相違||相違|soui |107|18157||2664||2664||
20845|sougou suru|総合する|綜合する|1|総合|を|総合|sougou |107|18156||2665||2665||
20846|souchi suru|装置する||1|装置|を|装置|souchi |107|18155||2666||2666||
20847|soubi suru|装備する||1|装備||装備|soubi |107|18154||2667||2667||
20848|shuuyaku suru|集約する||1|集約|を|集約|shuuyaku |107|18153||2668||2668||
20849|shuuseki suru|集積する||1|集積||集積|shuuseki |107|18152||2669||2669||
20850|shuukin suru|集金する||1|集金||集金|shuukin |107|18151||2670||2670||
20851|shuukei suru|集計する||1|集計|を|集計|shuukei |107|18150||2671||2671||
20852|shutoku suru|取得する||1|取得|を|取得|shutoku |107|18148||2672||2672||
20853|shou suru|称する||0|称|を|称|shou |107|18146;18147||20109;20110||19373||
20854|shori suru|処理する||1|処理|を|処理|shori |107|18145||2675||2675||
20855|shokutaku suru|嘱託する|属託する, 囑託する|1|嘱託|を|嘱託|shokutaku |107|18144||2676||2676||
20856|shirankao suru|知らん顔する||1|知らん顔||知らん顔|shirankao |107|18142;18143||2677;2678||2677;2678||
20857|shinshutsu suru|進出する||1|進出||進出|shinshutsu |107|18141||2679||2679||
20858|shinkon suru|新婚する||1|新婚||新婚|shinkon |107|18140||2680||2680||
20859|shinboku suru|親睦する||1|親睦|を|親睦|shinboku |107|18139||2681||2681||
20860|shikyo suru|死去する||1|死去||死去|shikyo |107|18138||2682||2682||
20861|shikibetsu suru|識別する|職別する|1|識別|を|識別|shikibetsu |107|18137||2683||2683||
20862|shiken suru|試験する||1|試験|を|試験|shiken |107|18135;18136||2684;2685||2684;2685||
20863|shikai suru|司会する||1|司会||司会|shikai |107|18134||2686||2686||
20864|shiji suru|支持する||1|支持|を|支持|shiji |107|18132;18133||2687;2688||2687;2688||
20865|shiji suru|師事する||1|師事|を|師事|shiji |107|18131||2689||2689||
20866|shihai suru|支配する||1|支配|を|支配|shihai |107|18128;18129;18130||2690;2691;2692||2690;2691;2692||
20867|shien suru|支援する||1|支援|を|支援|shien |107|18127||2693||2693||
20868|shashinsatsuei suru|写真撮影する||0|写真撮影|を|写真撮影|shashinsatsuei |107|18126||2694||2694||
20869|settoku suru|説得する||1|説得||説得|settoku |107|18125||2695||2695||
20870|setsumei suru|説明する||1|説明|を|説明|setsumei |107|18124||2696||2696||
20871|senshutsu suru|選出する||1|選出|を|選出|senshutsu |107|18123||2697||2697||
20872|seisou suru|清掃する||1|清掃||清掃|seisou |107|18122||2698||2698||
20873|seisho suru|清書する||1|清書||清書|seisho |107|18121||2699||2699||
20874|seibi suru|整備する||1|整備||整備|seibi |107|18119;18120||2700;2701||2700;2701||
20875|sasetsu suru|左折する||0|左折||左折|sasetsu |107|18118||2702||2702||
20876|sanshou suru|参照する||1|参照|を|参照|sanshou |107|18117||2703||2703||
20877|sansen suru|参戦する||1|参戦||参戦|sansen |107|18115;18116||2704;2705||2704;2705||
20878|saabisu suru|サービスする||0|サービス|を|サービス|saabisu |107|18112;18113;18114||2706;2707;2708||2706;2707;2708||
20879|ruisui suru|類推する||1|類推|を|類推|ruisui |107|18111||2709||2709||
20880|ruiji suru|類似する||1|類似||類似|ruiji |107|18110||2710||2710||
20881|roudou suru|労働する||1|労働||労働|roudou |107|18108||2711||2711||
20882|ronsou suru|論争する||1|論争||論争|ronsou |107|18107||2712||2712||
20883|ronsen suru|論戦する||1|論戦||論戦|ronsen |107|18106||2713||2713||
20884|ronpyou suru|論評する||1|論評|を|論評|ronpyou |107|18105||2714||2714||
20885|rongi suru|論議する||1|論議|を|論議|rongi |107|18104||2715||2715||
20886|rokku suru|ロックする||0|ロック|を|ロック|rokku |107|18103||2716||2716||
20887|rinritsu suru|林立する||1|林立||林立|rinritsu |107|18102||2717||2717||
20888|rensai suru|連載する||1|連載|を|連載|rensai |107|18101||2718||2718||
20889|rain'appu suru|ラインアップする||0|ラインアップ|を|ラインアップ|rain'appu |107|18100||2719||2719||
20890|purei suru|プレイする||0|プレイ||プレイ|purei |107|18098;18099||2720;2721||2720;2721||
20891|oyakoukou suru|親孝行する||1|親孝行||親孝行|oyakoukou |107|18097||2722||2722||
20892|oopun suru|オープンする||0|オープン|を|オープン|oopun |107|18096||2723||2723||
20893|nesage suru|値下げする||1|値下げ|を|値下げ|nesage |107|18095||2724||2724||
20894|nesagari suru|値下がりする||1|値下がり||値下がり|nesagari |107|18094||2725||2725||
20895|nebiki suru|値引きする|値引する|1|値引き|を|値引き|nebiki |107|18093||2726||2726||
20896|neage suru|値上げする|値上する|1|値上げ|を|値上げ|neage |107|18092||2727||2727||
20897|natsubate suru|夏ばてする|夏バテする|1|夏ばて||夏ばて|natsubate |107|18091||2728||2728||
20898|nakatsugi suru|中継ぎする|中継する, 中次する, 中次ぎする|1|中継ぎ|を|中継ぎ|nakatsugi |107|18089||2729||2729||
20899|naitei suru|内定する||1|内定|を|内定|naitei |107|18088||2730||2730||
20900|marumaru suru|丸々する|丸丸する|1|丸々||丸々|marumaru |107|18087||2731||2731||
20901|kyougi suru|競技する||1|競技||競技|kyougi |107|18086||2732||2732||
20902|kuchigotae suru|口答えする|口応えする, 口ごたえする|1|口答え||口答え|kuchigotae |107|18085||2733||2733||
20903|kuchidashi suru|口出しする|口だしする|1|口出し||口出し|kuchidashi |107|18084||2734||2734||
20904|koushin suru|行進する||1|行進||行進|koushin |107|18083||2735||2735||
20905|kitei suru|規定する||1|規定|を|規定|kitei |107|18082||2736||2736||
20906|kijutsu suru|記述する||1|記述|を|記述|kijutsu |107|18081||2737||2737||
20907|kessei suru|結成する||1|結成||結成|kessei |107|18080||2738||2738||
20908|kenchiku suru|建築する||1|建築|を|建築|kenchiku |107|18079||2739||2739||
20909|kakubusou suru|核武装する||1|核武装||核武装|kakubusou |107|18078||2740||2740||
20910|kaizou suru|改造する||1|改造||改造|kaizou |107|18076;18077||2741;2742||2741;2742||
20911|kaigyou suru|開業する||1|開業||開業|kaigyou |107|18075||2743||2743||
20912|jiyuuka suru|自由化する||1|自由化|を|自由化|jiyuuka |107|18074||2744||2744||
20913|iede suru|家出する||1|家出||家出|iede |107|18071;18072;18073||2745;2746;2747||2745;2746;2747||
20914|ichiran suru|一覧する||1|一覧||一覧|ichiran |107|18070||2748||2748||
20915|hogo suru|保護する||1|保護|を|保護|hogo |107|18068;18069||2749;2750||2749;2750||
20916|hitto suru|ヒットする||0|ヒット||ヒット|hitto |107|18065||2751||2751||
20917|hikou suru|飛行する||1|飛行||飛行|hikou |107|18063||2752||2752||
20918|hihan suru|批判する||1|批判|を|批判|hihan |107|18062||2753||2753||
20919|hennyuu suru|編入する||1|編入||編入|hennyuu |107|18061||2754||2754||
20920|gizagiza suru|刻刻する|段段する|0|刻刻||刻刻|gizagiza |107|18060||2755||2755||
20921|fuushi suru|風刺する||1|風刺||風刺|fuushi |107|18059||2756||2756||
20922|fukki suru|復帰する||1|復帰||復帰|fukki |107|18057;18058||2757;2758||2757;2758||
20923|endaka suru|円高する||1|円高||円高|endaka |107|18056||2759||2759||
20924|eigyou suru|営業する||1|営業||営業|eigyou |107|18055||2760||2760||
20925|dounyuu suru|導入する||1|導入|を|導入|dounyuu |107|18054||2761||2761||
20926|dezain suru|デザインする||0|デザイン|を|デザイン|dezain |107|18053||2762||2762||
20927|datou suru|打倒する||1|打倒|を|打倒|datou |107|18052||2763||2763||
20928|dashin suru|打診する||1|打診|を|打診|dashin |107|18050;18051||2764;2765||2764;2765||
20929|dandori suru|段取りする|段どりする|1|段取り|を|段取り|dandori |107|18049||2766||2766||
20930|dan'atsu suru|弾圧する||1|弾圧|を|弾圧|dan'atsu |107|18048||2767||2767||
20931|dakai suru|打開する||1|打開||打開|dakai |107|18047||2768||2768||
20932|daha suru|打破する||1|打破|を|打破|daha |107|18046||2769||2769||
20933|chuukoku suru|忠告する||1|忠告|を|忠告|chuukoku |107|18045||2770||2770||
20934|chuukei suru|中継する||1|中継|を|中継|chuukei |107|18043;18044||2771;2772||2771;2772||
20935|chikyuuondanka suru|地球温暖化する||0|地球温暖化||地球温暖化|chikyuuondanka |107|18042||2773||2773||
20936|bouei suru|防衛する||1|防衛|を|防衛|bouei |107|18041||2774||2774||
20937|aizu suru|合図する||1|合図||合図|aizu |107|18039||2775||2775||
20938|ainori suru|相乗りする||1|相乗り||相乗り|ainori |107|18036;18037;18038||2776;2777;2778||2776;2777;2778||
20939|zenmetsu suru|全滅する||1|全滅|を|全滅|zenmetsu |107|18483;18480||2779;2780||2779;2780||
20940|zenkai suru|全快する||1|全快||全快|zenkai |107|18482||2781||2781||
20941|wakai suru|和解する||1|和解||和解|wakai |107|18479;18481||2782;2783||2782;2783||
20942|uzuuzu suru|うずうずする||0|うずうず||うずうず|uzuuzu |107|18478||2784||2784||
20943|ryuushutsu suru|流出する||1|流出||流出|ryuushutsu |107|18476;18477||2785;2786||2785;2786||
20944|ryuunyuu suru|流入する||1|流入||流入|ryuunyuu |107|18475||2787||2787||
20945|ryuukou suru|流行する||1|流行||流行|ryuukou |107|18473;18474||2788;2789||2788;2789||
20946|ryouritsu suru|両立する||1|両立||両立|ryouritsu |107|18472||2790||2790||
20947|omake suru|お負けする|御負けする|1|お負け|を|お負け|omake |107|18469;18470;18471||2791;2792;2793||2791;2792;2793||
20948|omairi suru|お参りする||1|お参り|を|お参り|omairi |107|18468||2794||2794||
20949|nikoniko suru|ニコニコする||0|ニコニコ||ニコニコ|nikoniko |107|18467||2795||2795||
20950|nikkori suru|にっこりする||0|にっこり||にっこり|nikkori |107|18466||2796||2796||
20951|mattou suru|全うする||1|全うする|を|全うする|mattousuru |107|18465||2797||2797||
20952|hikizan suru|引き算する|引算する|1|引き算|を|引き算|hikizan |107|18464||2798||2798||
20953|haichi suru|配置する||1|配置|を|配置|haichi |107|18463||2799||2799||
20954|dekasegi suru|出稼ぎする||1|出稼ぎ||出稼ぎ|dekasegi |107|18461||2800||2800||
20955|atsukai suru|扱いする||1|扱い|を|扱い|atsukai |107|18460||2801||2801||
20956|ankooru suru|アンコールする||0|アンコール||アンコール|ankooru |107|18459||2802||2802||
20957|hyorohyoro suru|ひょろひょろする||0|ひょろひょろ||ひょろひょろ|hyorohyoro |107|12267||2803||2803||
20958|zokushutsu suru|続出する||1|続出||続出|zokushutsu |107|18566||2804||2804||
20959|zokushin suru|続伸する||1|続伸||続伸|zokushin |107|18565||2805||2805||
20960|zokkou suru|続行する||1|続行||続行|zokkou |107|18564||2806||2806||
20961|yurayura suru|揺ら揺らする||1|揺ら揺ら||揺ら揺ら|yurayura |107|18563||2807||2807||
20962|setto suru|セットする||0|セット||セット|setto |107|18561;18562||2808;2809||2808;2809||
20963|kouyou suru|高揚する||1|高揚|を|高揚|kouyou |107|18560||2810||2810||
20964|ken'o suru|嫌悪する||1|嫌悪||嫌悪|ken'o |107|18559||2811||2811||
20965|kantan suru|感嘆する|感歎する|1|感嘆||感嘆|kantan |107|18558||2812||2812||
20966|kanshoku suru|感触する||1|感触|を|感触|kanshoku |107|18557||2813||2813||
20967|kanmei suru|感銘する|肝銘する|1|感銘||感銘|kanmei |107|18556||2814||2814||
20968|kangeki suru|感激する||1|感激||感激|kangeki |107|18555||2815||2815||
20969|kakkou suru|滑降する||1|滑降||滑降|kakkou |107|18554||2816||2816||
20970|kakko suru|括弧する||1|括弧||括弧|kakko |107|18553||2817||2817||
20971|zushi suru|図示する||1|図示|を|図示|zushi |107|20116||2818||2818||
20972|yuuzuu suru|融通する||1|融通|を|融通|yuuzuu |107|20115||2819||2819||
20973|yosen suru|予選する||1|予選||予選|yosen |107|20114||2820||2820||
20974|yogen suru|予言する||1|予言||予言|yogen |107|20113||2821||2821||
20975|tsuusan suru|通算する||1|通算|を|通算|tsuusan |107|20112||2822||2822||
20976|tsure suru|連れする||1|連れ|を|連れ|tsure |107|20111||2823||2823||
20977|tsugou suru|都合する||1|都合||都合|tsugou |107|20109;20110||2824;2825||2824;2825||
20978|toumin suru|冬眠する||1|冬眠||冬眠|toumin |107|20108||2826||2826||
20979|tosshin suru|突進する||1|突進|を|突進|tosshin |107|20107||2827||2827||
20980|toppa suru|突破する||1|突破|を|突破|toppa |107|20106||2828||2828||
20981|tomokasegi suru|共稼ぎする|共かせぎする|1|共稼ぎ||共稼ぎ|tomokasegi |107|20105||2829||2829||
20982|tomobataraki suru|共働きする||1|共働き||共働き|tomobataraki |107|20104||2830||2830||
20983|tomadoi suru|戸惑いする||1|戸惑い||戸惑い|tomadoi |107|20103||2831||2831||
20984|tokutei suru|特定する||1|特定||特定|tokutei |107|20102||2832||2832||
20985|tojimari suru|戸締まりする|戸締りする|1|戸締まり|を|戸締まり|tojimari |107|20101||2833||2833||
20986|teishi suru|停止する|choujisuru|1|停止|を|停止|teishi |107|20099;20100||2834;2835||2834;2835||
20987|tayori suru|便りする||1|便り||便り|tayori |107|20098||2836||2836||
20988|tassei suru|達成する||1|達成||達成|tassei |107|20097||2837||2837||
20989|taiyo suru|貸与する||1|貸与|を|貸与|taiyo |107|20096||2838||2838||
20990|taishaku suru|貸借する||1|貸借|を|貸借|taishaku |107|20095||2839||2839||
20991|tahatsu suru|多発する||1|多発||多発|tahatsu |107|20094||2840||2840||
20992|suishin suru|推進する||1|推進|を|推進|suishin |107|20093||2841||2841||
20993|shuumei suru|襲名する||1|襲名||襲名|shuumei |107|20091||2842||2842||
20994|shutsuryoku suru|出力する||1|出力||出力|shutsuryoku |107|20090||2843||2843||
20995|shusai suru|主催する||1|主催|を|主催|shusai |107|20089||2844||2844||
20996|shuen suru|主演する||1|主演||主演|shuen |107|20088||2845||2845||
20997|shubi suru|守備する||1|守備||守備|shubi |107|20087||2846||2846||
20998|shoukaku suru|昇格する||1|昇格||昇格|shoukaku |107|20086||2847||2847||
20999|shougai suru|障害する|障礙する, shougesuru, 障がいする, 障碍する|1|障害||障害|shougai |107|20084;20085||2848;2849||2848;2849||
21000|shitsumon suru|質問する||1|質問||質問|shitsumon |107|20082||2850||2850||
21001|shitsugi suru|質疑する||1|質疑|を|質疑|shitsugi |107|20080;20081||2851;2852||2851;2852||
21002|shiteki suru|指摘する||1|指摘||指摘|shiteki |107|20079||2853||2853||
21003|shimeitehai suru|指名手配する||1|指名手配|を|指名手配|shimeitehai |107|20078||2854||2854||
21004|shimei suru|指名する||1|指名|を|指名|shimei |107|20077||2855||2855||
21005|shigoto suru|仕事する||1|仕事||仕事|shigoto |107|20076||2856||2856||
21006|shichou suru|視聴する|shiteisuru|1|視聴|を|視聴|shichou |107|20074;20075||2857;2858||2857;2858||
21007|shibou suru|死亡する||1|死亡||死亡|shibou |107|20073||2859||2859||
21008|setsugen suru|節減する||1|節減||節減|setsugen |107|20071||2860||2860||
21009|sensui suru|潜水する||1|潜水||潜水|sensui |107|20069||2861||2861||
21010|senryou suru|占領する||1|占領|を|占領|senryou |107|20067;20068||2862;2863||2862;2863||
21011|sengen suru|宣言する||1|宣言|を|宣言|sengen |107|20066||2864||2864||
21012|sekken suru|席巻する|席捲する|1|席巻|を|席巻|sekken |107|20065||2865||2865||
21013|satogaeri suru|里帰りする||1|里帰り||里帰り|satogaeri |107|20064||2866||2866||
21014|sanran suru|産卵する||1|産卵||産卵|sanran |107|20063||2867||2867||
21015|sanka suru|酸化する||1|酸化|を|酸化|sanka |107|20062||2868||2868||
21016|sakadachi suru|逆立ちする||1|逆立ち||逆立ち|sakadachi |107|20061||2869||2869||
21017|ryakushou suru|略称する||1|略称|を|略称|ryakushou |107|20059||2870||2870||
21018|rentai suru|連帯する||1|連帯|を|連帯|rentai |107|20058||2871||2871||
21019|renshou suru|連勝する||1|連勝||連勝|renshou |107|20057||2872||2872||
21020|renketsu suru|連結する||1|連結|を|連結|renketsu |107|20056||2873||2873||
21021|outen suru|横転する||1|横転||横転|outen |107|20054;20055||2874;2875||2874;2875||
21022|ouryou suru|横領する||1|横領|を|横領|ouryou |107|20053||2876||2876||
21023|oukou suru|横行する|ougyousuru|1|横行||横行|oukou |107|20051;20052||2877;2878||2877;2878||
21024|ouchaku suru|横着する||1|横着||横着|ouchaku |107|20050||2879||2879||
21025|odaku suru|汚濁する||1|汚濁|を|汚濁|odaku |107|20049||2880||2880||
21026|nyuudan suru|入団する||1|入団|を|入団|nyuudan |107|20048||2881||2881||
21027|ninmei suru|任命する||1|任命|を|任命|ninmei |107|20047||2882||2882||
21028|meimei suru|命名する|銘名する|1|命名||命名|meimei |107|20046||2883||2883||
21029|meichuu suru|命中する||1|命中||命中|meichuu |107|20045||2884||2884||
21030|maruchi suru|マルチする||0|マルチ||マルチ|maruchi |107|20042;20043;20044||2885;2886;2887||2885;2886;2887||
21031|mane suru|真似する||1|真似||真似|mane |107|20040;20041||2888;2889||2888;2889||
21032|maaku suru|マークする||0|マーク|を|マーク|maaku |107|20037;20038;20039||2890;2891;2892||2890;2891;2892||
21033|kyouyuu suru|共有する||1|共有||共有|kyouyuu |107|20036||2893||2893||
21034|kyouyou suru|共用する||1|共用||共用|kyouyou |107|20035||2894||2894||
21035|kyoutsuu suru|共通する||1|共通||共通|kyoutsuu |107|20034||2895||2895||
21036|kyouritsu suru|共立する||1|共立||共立|kyouritsu |107|20033||2896||2896||
21037|kyoumei suru|共鳴する||1|共鳴||共鳴|kyoumei |107|20032||2897||2897||
21038|kyoukan suru|共感する||1|共感||共感|kyoukan |107|20031||2898||2898||
21039|kyouka suru|強化する||1|強化|を|強化|kyouka |107|20030||2899||2899||
21040|kyoudou suru|共同する|協同する|1|共同||共同|kyoudou |107|20029||2900||2900||
21041|kouri suru|小売する||1|小売||小売|kouri |107|20028||2901||2901||
21042|kounyuu suru|購入する||1|購入||購入|kounyuu |107|20027||2902||2902||
21043|koochi suru|コーチする||0|コーチ|を|コーチ|koochi |107|20026||2903||2903||
21044|kobetsuhoumon suru|戸別訪問する||1|戸別訪問||戸別訪問|kobetsuhoumon |107|20025||2904||2904||
21045|kishakaiken suru|記者会見する||0|記者会見||記者会見|kishakaiken |107|20024||2905||2905||
21046|kisai suru|記載する||1|記載|を|記載|kisai |107|20023||2906||2906||
21047|kinshi suru|禁止する||1|禁止|を|禁止|kinshi |107|20022||2907||2907||
21048|kikoku suru|帰国する||1|帰国||帰国|kikoku |107|20021||2908||2908||
21049|kikaika suru|機械化する||1|機械化||機械化|kikaika |107|20019;20020||2909;2910||2909;2910||
21050|kenzou suru|建造する||1|建造||建造|kenzou |107|20018||2911||2911||
21051|kennin suru|兼任する||1|兼任||兼任|kennin |107|20017||2912||2912||
21052|kenmu suru|兼務する||1|兼務||兼務|kenmu |107|20016||2913||2913||
21053|keizoku suru|継続する||1|継続||継続|keizoku |107|20015||2914||2914||
21054|keiyu suru|経由する|keiyuusuru|1|経由||経由|keiyu |107|20014||2915||2915||
21055|keisoku suru|計測する||1|計測|を|計測|keisoku |107|20013||2916||2916||
21056|keiryou suru|計量する||1|計量|を|計量|keiryou |107|20012||2917||2917||
21057|keireki suru|経歴する||1|経歴||経歴|keireki |107|20011||2918||2918||
21058|keikou suru|傾向する||1|傾向||傾向|keikou |107|20010||2919||2919||
21059|keika suru|経過する||1|経過||経過|keika |107|20007;20008;20009||2920;2921;2922||2920;2921;2922||
21060|keijou suru|計上する||1|計上|を|計上|keijou |107|20005;20006||2923;2924||2923;2924||
21061|kashidashi suru|貸し出しする||1|貸し出し|を|貸し出し|kashidashi |107|20004||2925||2925||
