MM Index|Meaning|Type|Explanation|Rules|Example|Opposite|Synonym|
8662|destino, predestinación|N||||||
8663|coleccionar, recopilar, hacer colección de, recoger, colección, amontonamiento, hacinamiento, acumulamiento, colección, recopilación, recolecta, recogida|N||||||
8664|delator, soplón|N||||||
8665|(una) causa justa|N||||||
8666|huir, escapar, fugarse|N||||||
8667|escape|N||||||
8668|negación, denegación, rechazo|N||||||
8669|deportes de invierno (eng: winter sports)|N||||||
8670|receptor, defensor, reputación, fama, aceptación, reconocimiento, recepción|||||||
8671|aceptar, tomar, recibir|N||||||
8672|pasivo, cuerpo pasivo, voz pasiva|||||||
8673|cargo, responsabilidad, deber|N||||||
8674|recibo|N||||||
8675|animadversión, inquina, resentimiento, rencor, encono, rencor, resentimiento|N||||||
8676|llanto de felicidad|N||||||
8677|propio, de uno|P||||||
8678|nuestro país, nuestra tierra|CE;N||||||
8679|egoísmo, autoindulgencia, obstinación|||||||
8680|desobediencia|||||||
8681|capricho|||||||
8682|trampa|N||||||
8683|cosa mala, persona mala|N||||||
8684|invierno (eng: winter)|N||||||
8685|posada, hospedería, fonda, hotel|N||||||
8686|¡lo hice!, ¡lo logré!, ¡si!, ¡hurra!|UNC||||||
8687|partido político en el poder|N||||||
8688|por (lo) tanto, por consiguiente, como corresponde, debido a, por lo tanto, por consiguiente, en conformidad, a causa de, por|PP||||||
8689|política fiscal|N||||||
8690|destrucción, extinción|N||||||
8691|coger un resfriado|CE||||||
8692|pintar un cuadro, hacer un dibujo, dibujar, pintar|CE||||||
8693|levantar la voz|CE||||||
8694|grasa, aceite, lubricante|N||||||
8695|apodo, sobrenombre|N||||||
8696|cinc, zinc|N:NE||||||
8697|después de mucho, al final, por fin, colmo, para el colmo|||||||
8698|sentarse con las piernas cruzadas, vanagloriarse|N||||||
8699|tonto, simplón, idiota|||||||
8700|amor, cariño, afecto, querer, adorar|||||||
8701|ojo (eng: eye), añil, índigo|N||||||
8702|durante|N||||||
8703|contraseña|N||||||
8704|vago, ambiguo, impreciso|||||||
8705|aunando fuerzas, uniendo fuerzas|A||||||
8706|afinidad, compatibilidad|N||||||
8707|condolencia, arrepentimiento, pesar, dolor, simpatía, lamento|N;Ano||||||
8708|mugre, cochambre, suciedad|N||||||
8709|pino rojo|N||||||
8710|escarlata, rojo|||||||
8711|ensangrentado, bermellón, rojo vivo, color sangre|||||||
8712|alba, amanecer|N||||||
8713|antiguo nombre de la prefectura de Hiroshima|N||||||
8714|hartazgo, hastío|N||||||
8715|punto culminante, mejor parte, lo mejor, obra maestra|||||||
8716|quedar perplejo, espantarse|N||||||
8717|ansia, deseo, anhelo, aspiración|N;Ano||||||
8718|bostezo, bostezar (y estirarse), bostezar, bostezo|N||||||
8719|mala acción (conducta), crimen, maldad, delito|N||||||
8720|mujer malvada o fea|N||||||
8721|circulo vicioso|N||||||
8722|al día siguiente|NAdv;T||||||
8723|agarre (de la mano), apretón|N||||||
8724|maligno, virulencia, (cancer) maligno, pernicioso (anemia)|||||||
8725|abuso, maltrato, mal uso, perversión|N||||||
8726|gotas de lluvia|||||||
8727|dependencia de la bondad de los demás|N||||||
8728|impermeable, gabardina|N||||||
8729|imposición, orden unilateral de la autoridad o de la superioridad, nombramiento como alto cargo de una empresa de un funcionario retirado|N||||||
8730|dulzor, sabor dulce|N||||||
8731|agua de lluvia|N||||||
8732|gotera|N||||||
8733|Vía Láctea|N;ZAs||||||
8734|guarecerse de la lluvia|N||||||
8735|(comida) caramelos (duros), dulces, toffee, melcocha, arropía|||||||
8736|lluvia, aguacero, diluvio|N||||||
8737|fácil, simple|||||||
8738|despreocupado, descuidado|||||||
8739|nubes oscuras (obscuras)|N||||||
8740|pasta de alubias dulce, relleno (de un pastel, de una empanada, etc.)|||||||
8741|no necesariamente, no del todo|A||||||
8742|hit seguro (béisbol)|N;ZBb||||||
8743|código, contraseña, cifra|N;Ano||||||
8744|peregrinaje, peregrinación|N||||||
8745|sugestión, sugerir, aludir, insinuar, sugestionar|N;Ano||||||
8746|memorizar, aprender de memoria, memorización, aprender por el corazón|N||||||
8747|tácito, implícito|N;Ano||||||
8748|seguridad, bienestar|N||||||
8749|Tratado de Seguridad EUA-Japón, seguro, seguridad|N;Abr||||||
8750|eutanasia|N||||||
8751|asesinato|N||||||
8752|descanso|Ana||||||
8753|sentido de seguridad|N||||||
8754|arrecife, escollo, roca hundida|N||||||
8755|(comida) albaricoque, damasco, chabacano, albaricoque, árbol de albaricoque|N||||||
8756|hojas frescas|N||||||
8757|laurel japonés, aucuba japonica|N||||||
8758|boca arriba|N||||||
8759|ciruela verde|N||||||
8760|opresión, presión|N||||||
8761|áspero, brusco, violento|Ai||||||
8762|preparado con anticipación, preparado de antemano, con antelación|A;Af||||||
8763|mares tormentosos, olas furiosas|||||||
8764|brusco, rústico, rudo|Ai||||||
8765|pelea, contienda, batalla|N||||||
8766|resumen, esbozo|N||||||
8767|hormiga|N||||||
8768|pasado, tiempos (días) pasados, los viejos tiempos, los días pasados|N;Ano||||||
8769|cierto..., un..., un determinado...|Apn||||||
8770|Dondiego de día, Convolvulus tricolor|N||||||
8771|frívolo, desconsiderado|Ana||||||
8772|impaciencia|N||||||
8773|paso ligero, ritmo rápido de marcha|||||||
8774|no me malinterprete, pero..., perdone|A||||||
8775|mediación, intervención, conciliación, favor, ayuda|N||||||
8776|victoria absoluta|N||||||
8777|comprimir, condensar, compresión, condensación, comprimir, condensar|N||||||
8778|epílogo, epílogo, posdata|N||||||
8779|regresar, volver, retroceder, desandar, echarse atrás, retroceso, regresión|N||||||
8780|abrigarse, arroparse, ponerse mucha ropa, abrigarse mucho|N||||||
8781|impudente, descarado, atrevido, desvergonzado, insolente, infame|Ai||||||
8782|grosor, profundidad, espesor|N||||||
8783|presión, stress|||||||
8784|espesor, grosor|N||||||
8785|calor|N||||||
8786|abrumar, aplastar, derribar|N||||||
8787|burbuja, espuma, espuma, burbujas|N||||||
8788|azorado, apabullado, apresurado, agitado, apurado, apresurado, precipitado, frenético|Ai||||||
8789|falla, falta|N||||||
8790|sin querer, por descuido, por error|CE||||||
8791|fresco, vivo, animado|Ana||||||
8792|frijol azuki, judía azuki|N||||||
8793|picadero|N||||||
8794|comercio, compra y venta|N||||||
8795|gérmenes, bacteria, microbio|||||||
8796|indemnización, compensación|N||||||
8797|dinero pagado en concepto de indemnización|N||||||
8798|espíritu maligno|N||||||
8799|actriz (eng: actress)|N||||||
8800|pene|N||||||
8801|estudiante de bachiller o preparatoria|N||||||
8802|disparate, absurdo, irresponsable|||||||
8803|automóvil extranjero|N||||||
8804|empuje, patrocinio, influencia|N;Sx||||||
8805|tirón|N;Sx||||||
8806|descuento, rebaja|N;Sx||||||
8807|intercamnio, conversión|N||||||
8808|al contrario, por una parte, por otra parte, por el contrario, por una parte, por otra parte|N||||||
8809|intercambio, conversión|N||||||
8810|por el contrario, por una (u otra) parte|N||||||
8811|intercambio, conversión|N||||||
8812|por el contrario|N||||||
8813|cobarde|N||||||
8814|ira, odio, rabia|N||||||
8815|automóvil|N||||||
8816|análisis|N||||||
8817|convicción, creencia, confianza|N||||||
8818|definición, decisión, resolución, establecimiento|N||||||
8819|grado inferior, categoría inferior, clase baja|N||||||
8820|vagón de carga, camión de carga|N||||||
8821|kendo, esgrima|N||||||
8822|esgrimidor (persona que practica la esgrima)|N||||||
8823|equitación|N||||||
8824|básicamente|A||||||
8825|caballero|N||||||
8826|jinete|N||||||
8827|ver de vez en cuando, ver a veces, ver o encontrar por casualidad|CE||||||
8828|(eng: menu) menú|N||||||
8829|segunda generación, extranjero de ascendecia japonesa|||||||
8830|joven|||||||
8831|dos existencias, el pasado y el futuro|||||||
8832|segundo (rey del mismo nombre)|||||||
8833|mujer|CE;N;Pe||||||
8834|(exp,n) no te importa!, no me molestes!|CE;N||||||
8835|al momento de|A||||||
8836|estudiante de tercer año (universitario)|N||||||
8837|azúcar (eng: sugar)|N||||||
8838|inserción|N||||||
8839|universidad técnica|N||||||
8840|universidad técnica|Pl||||||
8841|señor feudal|N||||||
8842|azúcar|N;Sx||||||
8843|diabetes|N||||||
8844|yo (usado por hombres de edad avanzada)|P||||||
8845|automóvil, coche|N||||||
8846|prostitución, prostituirse|N;Ano||||||
8847|prostituta|N||||||
8848|medio de conducción|N||||||
8849|enorme, vasto|||||||
8850|impreciso, vago, obscuro, ambiguo, indefinido|Ato;Atr||||||
8851|años posteriores, últimos años|N||||||
8852|drástico, radical|Ana||||||
8853|extracto, selección|N;Ano||||||
8854|pétalo|||||||
8855|válvula|||||||
8856|habla|||||||
8857|dialecto|||||||
8858|Departamento de Vigilancia (división de los daijokan responsable del control central y oficinas gubernamentales de provincias)|||||||
8859|estudio, aprendizaje|N||||||
8860|defensa, justificación, argumento, abogar, defender|N||||||
8861|excusa, pretexto, justificación|N||||||
8862|hombre fuerte|||||||
8863|explicación|N;Ano||||||
8864|comisionado|N||||||
8865|debate, discusión, discurso|N;Ano||||||
8866|pago, saldo, liquidación|N||||||
8867|reembolso, compensación, indemnización|N||||||
8868|cuarto separado, habitación separada, cuarto especial, habitación especial|N||||||
8869|embellecimiento|N||||||
8870|nota, comentario, observación, NB, Nota Bene|N||||||
8871|delicado, sutil|||||||
8872|difícil, (situación) delicada, complicado|||||||
8873|dudoso, cuestionable, discutible, incierto|||||||
8874|pobre, necesitado|N||||||
8875|embotellado, enfrascado|N;Ano||||||
8876|pizca, migaja|||||||
8877|microbio, germen|N||||||
8878|empapado|N;Ano||||||
8879|microscópico|||||||
8880|sonrisa|N||||||
8881|niño, muchacho, pequeño, hijo|||||||
8882|cementerio|N||||||
8883|falta de concentración, cataratas mentales, senectud, atontamiento, atolondramiento, alelamiento, chocheo, lelo, chocho, atontado|||||||
8884|recaudación de fondos|N;Ano||||||
8885|Bon Odori, baile del festival Bon|N||||||
8886|bandeja, charola, festival Bon (festival de muertos Japón)|||||||
8887|cuenca|N||||||
8888|persona ordinaria|N||||||
8889|bonsai (arbolito japonés)|N||||||
8890|maternidad|N;Ano||||||
8891|lápida|N||||||
8892|contratación, reclutamiento|N||||||
8893|confiscación|N;Ano||||||
8894|caída, ruina, bancarrota, quiebra|N||||||
8895|inmerso, sumergido|N||||||
8896|vara, bo (vara japonesa usada como arma)|N||||||
8897|oyente, público asistente|N||||||
8898|revelación|N||||||
8899|vasto, enorme|||||||
8900|a prueba de balas, antibalas, a prueba de bombas, antibombas|N;Ano||||||
8901|interferencia|N;Ano||||||
8902|protección|N;Ano||||||
8903|prevención de incendios, antifuego|N;Ano||||||
8904|espectador, observación sin participación|N||||||
8905|asilo político|N||||||
8906|insonorización, aislamiento acústico|N;Ano||||||
8907|prevención de catástrofes|N||||||
8908|monje budista, persona calva|||||||
8909|hilado|||||||
8910|guerra defensiva|N||||||
8911|fe ciega, credulidad|N||||||
8912|a prueba de agua, impermeable|N;Ano||||||
8913|monje budista, persona calva|||||||
8914|fuego pequeño|N||||||
8915|lúgubre, siniestro, espeluznante, escalofriante|||||||
8916|sin riesgos|||||||
8917|denominador (matemáticas)|N;ZMt||||||
8918|periodo Bunchu (1372-1375)|N||||||
8919|el mundo de la literatura (o de sus intelectuales)|N||||||
8920|lenguaje escrito|N||||||
8921|artículos de papelería|N||||||
8922|división del trabajo|N||||||
8923|especialización|N||||||
8924|artes liberales, ciencias humanas, humanidades|N||||||
8925|humanidades, ciencias sociales y bellas artes, artes liberales|N;Ano||||||
8926|librería|||||||
8927|educación, cultura|N||||||
8928|contenido de una carta|N||||||
8929|civil|N;Ano||||||
8930|secreción|N;Ano||||||
8931|independización|N||||||
8932|dispersión, diseminación|||||||
8933|parto, alumbramiento, (el) niño de uno, rama, vástago, el otro yo|N||||||
8934|maleducado, grosero|||||||
8935|producto (de venta)|N||||||
8936|baile, danza|||||||
8937|baile, danza|N||||||
8938|biombo|N||||||
8939|pabellón hospitalario|N||||||
8940|atención|N||||||
8941|coloración, color|N;Ano||||||
8942|sala de estar (estilo japonés), salón, (am) living|N||||||
8943|orden público|N||||||
8944|seno, pecho, teta, pezón, ubre|N||||||
8945|lento, retrasado|Ato;Atr||||||
8946|encogimiento|||||||
8947|chorlito (ave)|N||||||
8948|demora, retraso|N;Ano||||||
8949|(frase) seguro, sin equivocación, por cierto|Ai;CE||||||
8950|demencia|N;Ano||||||
8951|valor de la tierra|N||||||
8952|pronto, enseguida, a no mucho tardar, un día de estos, pronto, próximamente|T;NAdv||||||
8953|conocido, persona conocida|N||||||
8954|últimamente, recientemente, en la actualidad, hoy en día|NAdv;T||||||
8955|juramento, promesa|N||||||
8956|camino corto, atajo|N||||||
8957|prueba de capacidad|N||||||
8958|ensayo clínico|N||||||
8959|ganadería|N||||||
8960|acumulación|N;Ano||||||
8961|obtener, heredar la posesión de|CE||||||
8962|ver|CE||||||
8963|agradar, gustar|CE||||||
8964|servir de ayuda, ser útil|||||||
8965|estar a tiempo para|CE||||||
8966|servir de algo (reunión), bastar|CE||||||
8967|obtener, conseguir|CE||||||
8968|tener listo algo a tiempo, arreglárselas|CE||||||
8969|banal, trillado, anticuado|||||||
8970|disculpa|N||||||
8971|alquiler|N||||||
8972|pañuelo de papel|N||||||
8973|recogedor (para recoger la basura)|N||||||
8974|letal, mortal|N;Ano||||||
8975|islas Kuriles|N||||||
8976|islas Kuriles|N||||||
8977|características geológicas|N||||||
8978|estrato (geológico)|N||||||
8979|nitrógeno (N)|N;Ano||||||
8980|ahogo, asfixia|N;Ano||||||
8981|orden, armonía|N||||||
8982|sanación, curación, recuperación|N||||||
8983|contador para trajes|||||||
8984|llegar a ...|||||||
8985|ahorros|N||||||
8986|ahorros (banco)|||||||
8987|control directo|N;Ano||||||
8988|decreto imperial, edicto imperial|N||||||
8989|impacto directo|N||||||
8990|confrontación|N||||||
8991|serie, ciclo, sucesión, fila|||||||
8992|mirar en la cara, hacerle frente a|N||||||
8993|avanzar en línea recta|N||||||
8994|comunicación directa|N;Ano||||||
8995|famoso, renombrado, célebre|||||||
8996|autor (norm. de un libro en concreto, etc.), escritor|N||||||
8997|libro, escrito, obra escrita|N||||||
8998|clave mayor (música)|N;Ano;ZMc||||||
8999|superconductividad|N||||||
9000|pena, sentencia|N||||||
9001|duplicado, repetición, redundancia|N;Ano||||||
9002|provocación, desafío, instigación|N||||||
9003|alistamiento, reclutamiento|N||||||
9004|millonario|N||||||
9005|cima|N;Ano||||||
9006|escucha, sentido del oido|N;Ano||||||
9007|tallado, labrado, esculpido, esculpir, tallar, cincelar|N||||||
9008|señal|N||||||
9009|asistencia, concurrencia|N||||||
9010|larga distancia|N;Ano||||||
9011|entrenamiento (de animales), amansar (un animal), domar|N||||||
9012|ondas ultrasónicas|N;Px||||||
9013|ceremonia diaria de comienzo de labores|N||||||
9014|corriente marina|N||||||
9015|gran estatura, estatura alta|N;Ano||||||
9016|impuesto|N||||||
9017|audiencias, espectadores|N||||||
9018|(el) largo, cualidades y defectos|N||||||
9019|cima, pico, cumbre|||||||
9020|salto, saltar|N;Ano||||||
9021|almacén, bodega, despensa|N||||||
9022|nota, anotación|N||||||
9023|suspender|N||||||
9024|envenenarse, intoxicarse, adicción|||||||
9025|mesura, moderación|||||||
9026|a medio camino|N||||||
9027|tamaño mediano|N;Ano||||||
9028|cuidadoso, cauteloso|Ai||||||
9029|mitad del mes, 10 intermedios días del mes, 2 tercios del mes|NAdv;T||||||
9030|chino (e.g. restaurante)|||||||
9031|intermediario, mediador|N;Ano||||||
9032|núcleo, médula, centro|N||||||
9033|núcleo, columna vertebral, médula|||||||
9034|Nagoya y alrededores|N||||||
9035|nivel intermedio|N;Ano||||||
9036|América Central y Sur|N||||||
9037|residente en Japón|N||||||
9038|Europa Central|N||||||
9039|de clase media, a media corriente|N||||||
9040|arbitraje, intercesión, mediación|N;Ano||||||
9041|clase media, burguesía|N;Ano||||||
9042|neutralidad|||||||
9043|neutrón|N;ZPh||||||
9044|sorteo, insaculación, sorteo, rifa|N||||||
9045|estacionar, aparcar, estacionamiento, aparcamiento (de un vehículo)|N;Ano||||||
9046|calumnia, difamación|N||||||
9047|abstracto|N||||||
9048|abstracto|Ana||||||
9049|extracción|N||||||
9050|núcleo, centro|N;Ano||||||
9051|deserción (de una escuela)|N||||||
9052|a medias, sin acabar|||||||
9053|campamento, acantonamiento, guarnición|N||||||
9054|neutralización|||||||
9055|aborto|N||||||
9056|contusión, golpe, moretón|N||||||
9057|forma elíptica|N;Ano||||||
9058|excremento (mierda)|N||||||
9059|la mayoría, la gran parte|N||||||
9060|gran estatua de Buda|N||||||
9061|tierra (un suelo de tierra) (lit gran tierra)|N||||||
9062|colon|N;Ano||||||
9063|naranja (color)|N;Ano||||||
9064|calle principal, avenida|N||||||
9065|aorta|N;Ano||||||
9066|slalom gigante (esquí)|N||||||
9067|gran escala|||||||
9068|daimio (antiguo señor feudal japonés)|N||||||
9069|cerebro|N;Ano||||||
9070|mármol|N||||||
9071|(un) tercer país|N||||||
9072|medida, tamaño|||||||
9073|batallón|N||||||
9074|audaz|||||||
9075|mayoría por votos|N;Ano||||||
9076|premisa indispensable|N||||||
9077|soja, soya|N||||||
9078|abrazo|N;ZCL||||||
9079|acuerdo, conciliación|N||||||
9080|pódium|||||||
9081|corte transversal|N||||||
9082|marido, esposo|||||||
9083|rendición, claudicación, abandono|N||||||
9084|aislamiento (térmico)|N;Ano||||||
9085|corte del servicio de agua|N||||||
9086|conclusión, decisión|||||||
9087|charla, comentario|N||||||
9088|rotundamente|||||||
9089|interrupción|||||||
9090|depravación, corrupción, degradación|N||||||
9091|somnoliento|||||||
9092|descarrilamiento|N||||||
9093|deserción, fuga|N||||||
9094|desecación, deshidratación, evaporación|N||||||
9095|apropiado, adecuado, válido, razonable|||||||
9096|desvestirse|N||||||
9097|abandono, retirada, atraso|N||||||
9098|evasión de impuestos|N;Ano||||||
9099|catering, servicio de comidas|N||||||
9100|puesto de comida, sucursal, filial|N||||||
9101|voltaje|N||||||
9102|volver, empezar de nuevo|N||||||
9103|eléctrico|N;Ano||||||
9104|descarga eléctrica|||||||
9105|fuente de energía eléctrica|N||||||
9106|electrificación|N||||||
9107|productos eléctricos|N||||||
9108|maquinaria eléctrica, artefactos, aparatos|N||||||
9109|rayo, relámpago|N||||||
9110|electrodo|N||||||
9111|contagio|N||||||
9112|telégrafo|N;Ano||||||
9113|barro (cocido)|N||||||
9114|en alguna parte, en algún lugar, en algunos aspectos|N;A;CE||||||
9115|veneno, tóxico|||||||
9116|decisión arbitraria, actitud dogmática|||||||
9117|estudiar de modo autodidacta, autoaprendizaje|N;Ano||||||
9118|gas venenoso|N||||||
9119|dictadura, despotismo, tiranía|N;Ano||||||
9120|monopolio|N||||||
9121|lector|N||||||
9122|célibe, soltero|N;Ano||||||
9123|originalidad|N||||||
9124|original|Ana||||||
9125|peculiaridad, singularidad, característico|||||||
9126|veneno|N||||||
9127|piso interior de tierra aplanada, foso|N||||||
9128|bol, tazón|||||||
9129|insensibilidad, impasibilidad, apatía|||||||
9130|paradero|NAdv;CE||||||
9131|barro, lodo|||||||
9132|tierra y piedras|N||||||
9133|tierra y arena|N||||||
9134|zapatos|N||||||
9135|alzamiento, elevamiento|N||||||
9136|(la) misma enfermedad|N||||||
9137|imagen en movimiento|||||||
9138|(el) mismo mes|NAdv;T||||||
9139|obligación moral|N||||||
9140|mismo negocio|N||||||
9141|acompañar|N||||||
9142|consentimiento, aprobación|||||||
9143|movilización|N||||||
9144|De nada, eres bienvenido, ni lo menciones|OI||||||
9145|moneda de cobre|N||||||
9146|(la) misma prefectura|N||||||
9147|tendencias|N||||||
9148|gustos similares|N||||||
9149|misma escuela|N||||||
9150|mismo nombre|||||||
9151|Muchas gracias|CE||||||
9152|arteria|N||||||
9153|homófono|||||||
9154|disturbio, alboroto, desorden|N;Ano||||||
9155|de la misma categoría, del mismo nivel|N||||||
9156|de la misma clase|N;Ano||||||
9157|fuerza motriz|||||||
9158|intuición, perspicacia|N||||||
9159|estado, condición, actividad, tendencias|N||||||
9160|mismo apellido|N;Ano||||||
9161|amor homosexual|N;Ano||||||
9162|(la) misma habitación|N;Ano||||||
9163|(la) misma escuela|N||||||
9164|mismo número|N;Ano||||||
9165|la misma tienda, la tienda mencionada|N||||||
9166|vacilación, titubeo|N||||||
9167|canciones infantiles|N||||||
9168|estatua de bronce|N||||||
9169|Echigo (antiguo nombre de la prefectura Niigata)|N||||||
9170|corporación (fundación) publica|N||||||
9171|residencia permanente, residir permanentemente en, establecerse definitivamente en, fijar su residencia permanentemente en|N||||||
9172|corona de gloria, laurel|N||||||
9173|gran sabiduría, excelente disposición|N||||||
9174|fuerza, vigor|N||||||
9175|gloria, aureola, honor|N||||||
9176|inteligente, sabio, juicioso, brillante, perspicaz|||||||
9177|agricultura|N||||||
9178|ganancia, lucro, beneficio|N||||||
9179|higiene, sanidad, salubridad|N||||||
9180|higiénico, sanitario, salubre|Ana||||||
9181|permanencia, eternidad|N||||||
9182|duración, perpetuidad, durar, perpetuarse, perdurar|N;Ano||||||
9183|síndrome de inmunodeficiencia adquirida, SIDA|N||||||
9184|disco|||||||
9185|platillo volador|||||||
9186|interpretación de un baile (danza)|N||||||
9187|esrado, tribuna|N||||||
9188|propuesta de matrimonio|N||||||
9189|salina|N||||||
9190|borde del camino, lado del camino|N;Ano||||||
9191|litoral|N;Ano||||||
9192|corredor que da al exterior en casa japonesa|N||||||
9193|artes escenicas|N||||||
9194|representación teatral|N;Ano||||||
9195|presagio|||||||
9196|protección, cubrimiento, proteger, cubrir|N||||||
9197|ayudar, asistir, auxiliar, socorrer, ayuda, asistencia, auxilio, socorro, amparo, ayudar, auxiliar, asistir, socorrer, amaparar|N||||||
9198|incendiarse, quemarse|||||||
9199|trovador, enka, canción tradicional japonesa|N||||||
9200|remoto, lejano, apartado|N;Ano||||||
9201|aplazamiento, prorrogación, prorroga, aplazar, prorrogar, posponer|N||||||
9202|eufemístico, con rodeos, indirecto|||||||
9203|distancia larga|N;Ano||||||
9204|prolongación (alargamiento) de la vida|N;Ano||||||
9205|macrobiótico|N;Ano||||||
9206|programa (título) musical|N;Abr||||||
9207|lejanía, lugar alejado|N;Ano||||||
9208|abstenerse de, excusarse de, preferir no hacer, dar corte, cortarse, reserva, modestia, recato, vergüenza, temor, abstenerse, rehusar algo por discreción, estar temeroso de algo|N||||||
9209|expedición, tour, hacer una expedición (tour)|N||||||
9210|inflamación, ardor, irritación, quemazon|N||||||
9211|director (artistico), productor|N||||||
9212|excursión, viaje|N||||||
9213|atraso retardo (e.g., en pagos), retrasarse|N;Ano||||||
9214|calor abrasador|N||||||
9215|chimenea|||||||
9216|cilindro|N||||||
9217|operación, cuenta, calculo, calcular|N;ZMt||||||
9218|montaña distante|N||||||
9219|bufanda, bufanda, chal|N||||||
9220|saludo, saludar|N||||||
9221|pasar el invierno|N||||||
9222|inestable|||||||
9223|falta de preparación, falta de infraestructura|||||||
9224|desigualdad, injusticia, parcialidad|||||||
9225|descuido, distracción|||||||
9226|constante, persistente|||||||
9227|ropa casual, ropa informal|N||||||
9228|pincel de escritura|N||||||
9229|inmobiliaria, propiedad inmobiliaria|N||||||
9230|flauta, silbato|N||||||
9231|acaudalado, millonario|N||||||
9232|marca, símbolo|||||||
9233|descalificación, desaprobación, ineptitud|N||||||
9234|absurdo|||||||
9235|decadencia, depravación|||||||
9236|queja, descontento, insatisfacción|||||||
9237|inmutable, invariable|||||||
9238|universalmente|N;Ano||||||
9239|universal (válido en todas partes)|Ana||||||
9240|innecesario|||||||
9241|desganado, renuente|||||||
9242|anarquía, injusticia, ilegalidad|||||||
9243|mala reputación, deshonra, impopularidad|N;Ano||||||
9244|aterrizaje forzoso|N||||||
9245|mujer, señora, mujer adulta|N||||||
9246|ginecología|||||||
9247|mujeres|N||||||
9248|apoyo, subsidio|N||||||
9249|violación|N||||||
9250|incongruencia, incoherencia|||||||
9251|impuro, adulterado|||||||
9252|irregular, trastornado|||||||
9253|insuficiente|||||||
9254|imposible, negativo, reprobado|||||||
9255|inevitable, ineludible, forzoso|||||||
9256|imprescindible, indispensable, necesario|||||||
9257|profundidad, hondura|N||||||
9258|incompleto|||||||
9259|profundidad|N||||||
9260|suciedad, inmundicia, asqueroso, sucio; mugroso|||||||
9261|estancamiento por viento o agua, atascadero de vagos|N||||||
9262|paños de cocina|N||||||
9263|de mal agüero|||||||
9264|recuperación, renacimiento, reconstrucción|N||||||
9265|restauración|N;Ano||||||
9266|declarar, informar|N||||||
9267|desconsideración (hacia los padres)|||||||
9268|infortunio, desdicha, desgracia|||||||
9269|injusticia, desigualdad|||||||
9270|abdomen|N;Ano||||||
9271|cumplimiento de condena|N||||||
9272|obediencia, sumisión, resignación|N||||||
9273|máscara, disfraz|||||||
9274|efectos secundarios|N||||||
9275|moda, prendas|N;Ano||||||
9276|premio extra|N||||||
9277|dolor de estómago|N||||||
9278|uso|N||||||
9279|depresión económica|||||||
9280|insatisfacción, disgusto, descontento, quejas, infelicidad|||||||
9281|insomnio, vigilia|N;Ano||||||
9282|ignorancia|N;Sx||||||
9283|pie de la montaña|N||||||
9284|estéril, árido, desértico|||||||
9285|discordia|||||||
9286|inexperiencia, falta de familiaridad|||||||
9287|juicio, sensatez|N||||||
9288|indignación, enfado|N||||||
9289|traslado, trasferencia|N||||||
9290|impopular|||||||
9291|ánimo, enardecimiento, levantamiento del ánimo, levantamiento de la moral|N||||||
9292|polvos|N;Ano||||||
9293|incapacidad, incompetencia|||||||
9294|excitación, entusiasmo, emoción|N||||||
9295|perder algo|N||||||
9296|fuente, chorro, manantial|N||||||
9297|conflicto, disputa, guerra|N;Ano||||||
9298|fuente de agua|N||||||
9299|dura lucha, lucha dura, esfuerzo intenso|N||||||
9300|contacto|N;Af||||||
9301|desventaja|||||||
9302|desventaja|||||||
9303|péndulo|N||||||
9304|baño, cuarto de baño|N||||||
9305|apéndice (de un libro)|N||||||
9306|vagabundo|N||||||
9307|libro de segunda mano|N||||||
9308|conducta, comportamiento|N||||||
9309|imprevisto|N;Ano||||||
9310|mechón, borla|||||||
9311|cosecha fallida, vacas flacas, producción pobre|N||||||
9312|pulso irregular, arritmia|N||||||
9313|desgracia, infelicidad, desdicha|||||||
9314|manejo inadecuado, desatención, negligencia|||||||
9315|desconfianza, deslealtad|N||||||
9316|duda, sospecha, desconfianza|||||||
9317|depresión económica|||||||
9318|fingido, ficticio, artificial, raro|||||||
9319|inadecuado, inoportuno, poco apropiado, impropio, inmerecido|||||||
9320|mampara corrediza estilo japonés|N||||||
9321|brote (de una planta), yema|N;Ano||||||
9322|gemelo, gemelos|N||||||
9323|carga, peso, costo|N||||||
9324|dos personas, pareja, dúo|N||||||
9325|incierto, dudoso|||||||
9326|seno, entraña, alcance, bolsillo|N||||||
9327|punto débil, inhabilidad, defecto|||||||
9328|injusto|||||||
9329|opacidad, opaco|||||||
9330|inconveniente|||||||
9331|ebullición|N||||||
9332|campana de viento, carillón de viento|N||||||
9333|energía eólica|||||||
9334|elegancia, gusto, refinamiento|||||||
9335|bloqueo|N||||||
9336|descubierto, devolución de efecto impagado|N||||||
9337|innecesario, no deseado|||||||
9338|manutención|N||||||
9339|molestia, desagradable, infelicidad|||||||
9340|ausencia|||||||
9341|parcial, incompleto, imperfecto|||||||
9342|daño, perjuicio, mala influencia, dañar, perjudicar, hacer daño|N||||||
9343|presión externa|N||||||
9344|insectos nocivos, plagas|N;Ano||||||
9345|aire libre|N||||||
9346|esqueleto|N;Ano||||||
9347|asuntos exteriores|N||||||
9348|gairaigo (palabra japonesa que es préstamo lingüístico de una lengua occidental)|N;ZL||||||
9349|resumen, introducción|N||||||
9350|comunicación externa|N||||||
9351|correspondiente, figurar entre|N||||||
9352|mar abierto, océano|N||||||
9353|viaje al extranjero|N||||||
9354|acantilado|N||||||
